index,item
687848,http://www.wikidata.org/entity/Q55984954
607518,http://www.wikidata.org/entity/Q16962736
633173,http://www.wikidata.org/entity/Q11870393
133708,http://www.wikidata.org/entity/Q42890770
616400,http://www.wikidata.org/entity/Q18548734
571510,http://www.wikidata.org/entity/Q112019737
471608,http://www.wikidata.org/entity/Q139794474
390756,http://www.wikidata.org/entity/Q111100694
338789,http://www.wikidata.org/entity/Q124326212
58790,http://www.wikidata.org/entity/Q709757
286700,http://www.wikidata.org/entity/Q114958594
496221,http://www.wikidata.org/entity/Q5430931
104266,http://www.wikidata.org/entity/Q6887331
279100,http://www.wikidata.org/entity/Q110236683
412723,http://www.wikidata.org/entity/Q111139691
691936,http://www.wikidata.org/entity/Q59116558
24417,http://www.wikidata.org/entity/Q118763544
586071,http://www.wikidata.org/entity/Q115969660
249459,http://www.wikidata.org/entity/Q96417971
305928,http://www.wikidata.org/entity/Q128804727
664256,http://www.wikidata.org/entity/Q131384470
353758,http://www.wikidata.org/entity/Q139324240
181637,http://www.wikidata.org/entity/Q123020620
671739,http://www.wikidata.org/entity/Q125152890
282802,http://www.wikidata.org/entity/Q112255878
423217,http://www.wikidata.org/entity/Q3437460
628933,http://www.wikidata.org/entity/Q3900154
589220,http://www.wikidata.org/entity/Q117325481
353489,http://www.wikidata.org/entity/Q107086846
684489,http://www.wikidata.org/entity/Q112987831
763602,http://www.wikidata.org/entity/Q139968403
447768,http://www.wikidata.org/entity/Q79027530
57635,http://www.wikidata.org/entity/Q26678
700759,http://www.wikidata.org/entity/Q94428594
378049,http://www.wikidata.org/entity/Q6064805
38739,http://www.wikidata.org/entity/Q115136242
278131,http://www.wikidata.org/entity/Q109499642
238829,http://www.wikidata.org/entity/Q96464739
681396,http://www.wikidata.org/entity/Q112964396
299084,http://www.wikidata.org/entity/Q136734009
470792,http://www.wikidata.org/entity/Q111412697
504528,http://www.wikidata.org/entity/Q111867252
262764,http://www.wikidata.org/entity/Q17837470
547902,http://www.wikidata.org/entity/Q112005052
167522,http://www.wikidata.org/entity/Q16121363
236324,http://www.wikidata.org/entity/Q137915768
614176,http://www.wikidata.org/entity/Q18155580
372730,http://www.wikidata.org/entity/Q26665490
694260,http://www.wikidata.org/entity/Q63199312
416637,http://www.wikidata.org/entity/Q111151353
212260,http://www.wikidata.org/entity/Q74433454
19196,http://www.wikidata.org/entity/Q116822109
603503,http://www.wikidata.org/entity/Q16294564
759317,http://www.wikidata.org/entity/Q139267061
469043,http://www.wikidata.org/entity/Q4032940
304634,http://www.wikidata.org/entity/Q126127917
118307,http://www.wikidata.org/entity/Q42667289
743155,http://www.wikidata.org/entity/Q129631316
71969,http://www.wikidata.org/entity/Q42298705
690379,http://www.wikidata.org/entity/Q56584828
189857,http://www.wikidata.org/entity/Q58549121
583546,http://www.wikidata.org/entity/Q115795366
432538,http://www.wikidata.org/entity/Q111390946
185154,http://www.wikidata.org/entity/Q108058654
301994,http://www.wikidata.org/entity/Q4709513
569985,http://www.wikidata.org/entity/Q112018743
460366,http://www.wikidata.org/entity/Q3225354
667962,http://www.wikidata.org/entity/Q30338594
71649,http://www.wikidata.org/entity/Q66639106
593074,http://www.wikidata.org/entity/Q12058769
336266,http://www.wikidata.org/entity/Q125566599
