index,item
782304,http://www.wikidata.org/entity/Q116935575
144289,http://www.wikidata.org/entity/Q4508791
599114,http://www.wikidata.org/entity/Q65577510
709783,http://www.wikidata.org/entity/Q108780643
562438,http://www.wikidata.org/entity/Q61960284
874386,http://www.wikidata.org/entity/Q134283799
262164,http://www.wikidata.org/entity/Q10266667
659141,http://www.wikidata.org/entity/Q98229504
194052,http://www.wikidata.org/entity/Q6105687
252480,http://www.wikidata.org/entity/Q9345161
123856,http://www.wikidata.org/entity/Q3466895
909098,http://www.wikidata.org/entity/Q137789409
273417,http://www.wikidata.org/entity/Q11067424
688873,http://www.wikidata.org/entity/Q105258725
219687,http://www.wikidata.org/entity/Q7143427
121899,http://www.wikidata.org/entity/Q3348190
602653,http://www.wikidata.org/entity/Q65583303
861960,http://www.wikidata.org/entity/Q131704003
746795,http://www.wikidata.org/entity/Q111487969
309477,http://www.wikidata.org/entity/Q12846613
593562,http://www.wikidata.org/entity/Q65569469
258968,http://www.wikidata.org/entity/Q9655335
305361,http://www.wikidata.org/entity/Q12587683
782501,http://www.wikidata.org/entity/Q117804535
415563,http://www.wikidata.org/entity/Q20006613
806918,http://www.wikidata.org/entity/Q123871395
144315,http://www.wikidata.org/entity/Q4514153
430535,http://www.wikidata.org/entity/Q21587823
657951,http://www.wikidata.org/entity/Q97515934
591718,http://www.wikidata.org/entity/Q65566402
861835,http://www.wikidata.org/entity/Q131999535
101584,http://www.wikidata.org/entity/Q2798483
827432,http://www.wikidata.org/entity/Q123892620
137579,http://www.wikidata.org/entity/Q3917393
241588,http://www.wikidata.org/entity/Q7853497
388148,http://www.wikidata.org/entity/Q18119524
519771,http://www.wikidata.org/entity/Q48885777
549212,http://www.wikidata.org/entity/Q57778902
65959,http://www.wikidata.org/entity/Q1608304
8204,http://www.wikidata.org/entity/Q128604
5021,http://www.wikidata.org/entity/Q72247
106968,http://www.wikidata.org/entity/Q2958077
201766,http://www.wikidata.org/entity/Q6235281
732283,http://www.wikidata.org/entity/Q111157263
154508,http://www.wikidata.org/entity/Q4962429
795303,http://www.wikidata.org/entity/Q123556375
541791,http://www.wikidata.org/entity/Q56807967
447526,http://www.wikidata.org/entity/Q24809990
374710,http://www.wikidata.org/entity/Q16907940
631746,http://www.wikidata.org/entity/Q76498659
623810,http://www.wikidata.org/entity/Q67932881
184434,http://www.wikidata.org/entity/Q5817800
502962,http://www.wikidata.org/entity/Q41770233
534733,http://www.wikidata.org/entity/Q55683614
